tag,text,xpath
a,Rs. 880.00 OFF,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[2]/div/div/a
p,Kitsch Self-Draining Shower Caddy,/html/body/div[4]/div[2]/div[1]/form/div[2]/div[3]/ul/li[2]/div/a/p
a,Rs. 120.00 OFF,/html/body/main/section[4]/div/div/div[2]/ul/li[3]/div/div[1]/a
p,Shampoo Bar Bag,/html/body/main/section[4]/div/div/div[2]/ul/li[3]/div/a/p
a,Rs. 120.00 OFF,/html/body/main/section[4]/div/div/div[2]/ul/li[3]/div/div[1]/a
p,Conditioner Bar Bag,/html/body/main/section[4]/div/div/div[2]/ul/li[4]/div/a/p
a,Write a Review (Opens in a new window),/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[1]/div[2]/a
p,OMG!!   Using this shampoo bar was an experience you can’t wait to share. Skeptical at first- using a bar on my thick curly hair -born of mixed  ethnicities … thank God I was overwhelmingly impressed.  Curls were bouncy & vibrant immediately after shampooing- b4 adding conditioner... Love ❤️.. love your products . .. anxious to try out others,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[1]/div/div[2]/div[1]/div/div/div[3]/p
p,I'm in love! I was skeptical switching to bar shampoo just because it was outside my comfort zone but I'm amazed. I've always been conscious of staying away from harmful chemicals but this takes the cake.,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[2]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,"I use the ""painting"" method on my scalp and the lather is so rich. It doesn't feel dry, but rather nourishing and cleansing. I actually think I ""painted"" too much because it was SO MUCH lather. A little goes a long way.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[2]/div/div[2]/div[1]/div/div/div[3]/p[2]
p,I paired it with the Shea Butter Conditioner bar and I'm absolutely sold. This was after my first use and I can't wait see the results after a few weeks transitioning from traditional product to clean Kitsch bars. I'm about to order a couple more for a nice rotation. Thank you Kitsch!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[2]/div/div[2]/div[1]/div/div/div[3]/p[3]
p,"REFERENCE: Long natural blonde hair, thick and curly/wavy texture, frizz control issues and mild dandruff. Dryness/greasy spells depending on what products I'm using and environment I'm in as I live in Florida (humid) and Las Vegas (dry) throughout the year.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[2]/div/div[2]/div[1]/div/div/div[3]/p[4]
p,"I recently tried the castor oil shampoo and conditioner line and LOVE it! It has a very light sweet scent and made my hair feel cleansed and moisturized without feeling heavy. I also put the new leave-in conditioner on my ends. It feels light and has a nice scent! With Kitsch hair products, I feel like I’m really taking care of my hair for the first time—I never got into buying expensive products at the salon. I’m super happy with Kitsch’s affordable products and I’m feeling like I’m finally taking care of my hair the way I’ve always taken care of my skin—Kitsch is hair care for hair like skin care is for skin! I’m a Kitsch customer for life! Highly recommend! Thank you, Kitsch!",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[3]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,PS The Kitsch shampoo and conditioner bags are so awesome and make using the products super easy and convenient!!! I now have two shampoo and conditioner sets (this Castor oil line and the Rosemary & Biotin line) and Kitsch body wash bar set.,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[3]/div/div[2]/div[1]/div/div/div[3]/p[2]
p,I've been using the castor oil shampoo & the rosemary and biotin conditioners for a couple of weeks now.,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[4]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,I was pleasantly surprised by the luxurious lather ESPECIALLY from a bar!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[4]/div/div[2]/div[1]/div/div/div[3]/p[2]
p,I've noticed baby hairs coming in already too!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[4]/div/div[2]/div[1]/div/div/div[3]/p[3]
p,Also my hair looks and feels great so far!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[4]/div/div[2]/div[1]/div/div/div[3]/p[4]
p,I will DEFINITELY purchase again!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[4]/div/div[2]/div[1]/div/div/div[3]/p[5]
p,"The smell is awesome, first and foremost! Next, some info about me. I'm a melanated beauty with thick, dense, and curly/coily hair. Always very thirsty and I also suffer with scalp psoriasis.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[5]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,"After using the shampoo,  I squeezed out some access water and went in with this. Initially I was a bit concerned about how much hydration I would get, but as I rubbed the bar throughout and went in to emulsify, it felt pretty great. Not a super heavy feel, but my curls were loving the hydration as I let it sit for 5-7 mins or so.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[5]/div/div[2]/div[1]/div/div/div[3]/p[2]
p,"Definitely want to make sure you thoroughly rinse, but I'm really happy with how my curls looked and felt after getting out of the shower! A winner so far, look forward to using it again",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[5]/div/div[2]/div[1]/div/div/div[3]/p[3]
p,"Was able to try the castor oil s&c and was a big difference for my curls. I have wavy/curly hair and generally doesn't hold curl very well without lots of product. Was able to test and used very little products and allowed my hair to air dry. Hair felt much softer, less frizz, and more defined curls that held longer. Will definitely be adding to my routine",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[6]/div/div[2]/div[1]/div/div/div[3]/p
p,"Love this bar. My hair is thin and can get oily. This shampoo keeps my hair clean without stripping it and keeps it looking healthy, with body and shiny. People have commented on how healthy my hair is and has helped me grow it longer than I’ve had it in a long time.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[7]/div/div[2]/div[1]/div/div/div[3]/p
p,"It's the second time I buy from Kitsch and the products never dissapoint. My hair feels healthier, shinnier and stronger. I'm off traditional shampoos and I'm so happy I changed.  The change means no more plastic bottles are used every other week and giving natural ""food"" to my hair, so it's a win win.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[8]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,What a difference this had made on my very dry gray/white hair! I have bra strap length single layer hair that I have been battling to keep from dryness and frizz. This shampoo along with the rosemary oil treatment has been just what I’ve been looking for!,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[9]/div/div[2]/div[1]/div/div/div[3]/p[1]
p,Thank you 💐 Joy D.,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[9]/div/div[2]/div[1]/div/div/div[3]/p[2]
p,"I recently switched to this shampoo. So far (used twice) it has left my hair light and fluffy. On average I wash once or twice a week. With this shampoo feel like I have to wash at least twice a week because my hair does get a little greasy sooner than my previous shampoo. I have A LOT of wavy Hair, so it does keep my waves in tact too.",/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[3]/ul/li[10]/div/div[2]/div[1]/div/div/div[3]/p
a,Show More,/html/body/main/section[6]/div/div/div/div/div/div[3]/div/div/div/div[4]/div/a
h2,Frequently Asked Questions,/html/body/main/section[7]/div/div/div[1]/div/h2
p,"This bar promotes overall hair health by nourishing the hair with enriching ingredients like castor oil and quinoa protein blend, potentially reducing the need for additional treatments.",/html/body/main/section[7]/div/div/div[2]/ul/li[1]/div/div/div/p
p,"Yes! This conditioner is designed to pair perfectly with our fan favorite Castor Oil Nourishing Shampoo Bar, providing a comprehensive solution for hair health. You can also mix and match to accommodate your hair’s needs based on the solutions our shampoo and conditioner bars offer.",/html/body/main/section[7]/div/div/div[2]/ul/li[2]/div/div/div/p
p,"Yes! This shampoo is formulated to be gentle yet effective, making it suitable for all hair types, including dry and damaged hair.",/html/body/main/section[7]/div/div/div[2]/ul/li[3]/div/div/div/p
p,Yes! Our shampoos are free of sulfates and parabens which means they’re gentle enough to be used on treated hair without stripping color.,/html/body/main/section[7]/div/div/div[2]/ul/li[4]/div/div/div/p
p,"Yes, you can use this conditioner bar daily! It's formulated to provide deep hydration and nourishment without weighing your hair down.",/html/body/main/section[7]/div/div/div[2]/ul/li[5]/div/div/div/p
