tag,text,xpath
a,The Interchangeable Curling Iron,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[2]/ul/li[5]/div/div/div/div/div/div/div[2]/div/div/div/a
a,Detangling Nectar,/html/body/section[2]/fostr-mobilemenu/aside/fostr-mobilemenu-tier/fostr-mobilemenu-tier-body/fostr-mobilemenu-link-blocks/fostr-mobilemenu-link-block[2]/div[2]/div/slider-component/ul/li[5]/a
a,Moisture Milk,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[2]/ul/li[7]/div/div/div/div/div/div/div[2]/div/div/div/a
a,Deep Scalp Detox,/html/body/fostr-main-content/main/section[2]/div/div/div[1]/div/div/div/div/div[2]/ul/li[8]/div/div/div/div/div/div/div[2]/div/div/div/a
h2,Shop by Texture,/html/body/fostr-main-content/main/section[2]/div/div/div[2]/h2
h2,Leave-In Conditioner,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/h2
a,3601 Reviews,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[1]/div/div/div[1]/div[1]/a
a,Shipping,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[3]/a
h3,"Leave-in conditioner
9.8 fl oz




Regular price

        $28.00
      


Regular price

          
            $28.00
          
        Sale price

        $28.00
      


Unit price


/
 per",/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/h3
a,"Leave-in conditioner
9.8 fl oz",/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/h3/a
a,9.8 fl oz,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/div[1]/div[1]/a
a,25 fl oz,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/div[1]/div[2]/a
a,3 fl oz,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/div[1]/div[3]/a
a,Add to cart,/html/body/fostr-main-content/main/section[3]/section/div/div/fostr-product-card/div/div[5]/quick-buy/div[2]/a
h2,fall must-haves,/html/body/fostr-main-content/main/section[4]/div/div/div/h2
p,"stock up on these hits for fresh braids, twists & wash & gos",/html/body/fostr-main-content/main/section[4]/div/div/div/div/p
